2023-05-15 19:35:13 status unpacked libpam0g:arm64 1.4.0-9+deb11u1
2023-05-15 19:35:13 install libpcre2-8-0:arm64 <none> 10.36-2
2023-05-15 19:35:13 status half-installed libpcre2-8-0:arm64 10.36-2
2023-05-15 19:35:14 status unpacked libpcre2-8-0:arm64 10.36-2
2023-05-15 19:35:14 install libpcre3:arm64 <none> 2:8.39-13
2023-05-15 19:35:14 status half-installed libpcre3:arm64 2:8.39-13
2023-05-15 19:35:14 status unpacked libpcre3:arm64 2:8.39-13
2023-05-15 19:35:14 upgrade perl-base:arm64 5.32.1-4+deb11u2 5.32.1-4+deb11u2
2023-05-15 19:35:14 status half-configured perl-base:arm64 5.32.1-4+deb11u2
2023-05-15 19:35:14 status unpacked perl-base:arm64 5.32.1-4+deb11u2
2023-05-15 19:35:14 status half-installed perl-base:arm64 5.32.1-4+deb11u2
2023-05-15 19:35:15 status unpacked perl-base:arm64 5.32.1-4+deb11u2
2023-05-15 19:35:15 install sed:arm64 <none> 4.7-1
2023-05-15 19:35:15 status half-installed sed:arm64 4.7-1
2023-05-15 19:35:15 status unpacked sed:arm64 4.7-1
2023-05-15 19:35:15 install login:arm64 <none> 1:4.8.1-1
2023-05-15 19:35:15 status half-installed login:arm64 1:4.8.1-1
2023-05-15 19:35:16 status unpacked login:arm64 1:4.8.1-1
2023-05-15 19:35:16 install passwd:arm64 <none> 1:4.8.1-1
2023-05-15 19:35:16 status half-installed passwd:arm64 1:4.8.1-1
2023-05-15 19:35:17 status unpacked passwd:arm64 1:4.8.1-1
2023-05-15 19:35:17 install libsystemd0:arm64 <none> 247.3-6
2023-05-15 19:35:17 status half-installed libsystemd0:arm64 247.3-6
2023-05-15 19:35:17 status unpacked libsystemd0:arm64 247.3-6
2023-05-15 19:35:17 install libudev1:arm64 <none> 247.3-6
2023-05-15 19:35:17 status half-installed libudev1:arm64 247.3-6
2023-05-15 19:35:17 status unpacked libudev1:arm64 247.3-6
2023-05-15 19:35:17 install sysvinit-utils:arm64 <none> 2.96-7
